Frequency (Thz)	Wavelength(nm)	n	k
421.805000	711.229122	4.969090	4.354080e-01
423.496000	708.389217	4.981490	4.436750e-01
425.188000	705.570242	4.993870	4.519030e-01
426.880000	702.773613	5.006230	4.600920e-01
428.571000	700.000700	5.018570	4.682430e-01
430.263000	697.247962	5.030890	4.763560e-01
431.955000	694.516790	5.043190	4.844310e-01
433.647000	691.806931	5.055460	4.924690e-01
435.338000	689.119718	5.067880	5.003860e-01
437.030000	686.451731	5.082810	5.069240e-01
438.722000	683.804323	5.097700	5.134280e-01
440.414000	681.177256	5.112550	5.198980e-01
442.105000	678.571832	5.127370	5.263340e-01
443.797000	675.984741	5.142140	5.327380e-01
445.489000	673.417301	5.158420	5.432080e-01
447.180000	670.870790	5.177760	5.618450e-01
448.872000	668.341977	5.197080	5.803460e-01
450.564000	665.832157	5.216380	5.987120e-01
452.256000	663.341117	5.235650	6.169460e-01
453.947000	660.870102	5.254910	6.350480e-01
455.639000	658.415983	5.274130	6.530220e-01
457.331000	655.980023	5.293340	6.708680e-01
459.023000	653.562022	5.312520	6.885880e-01
460.714000	651.163195	5.331670	7.061840e-01
462.406000	648.780509	5.350790	7.236580e-01
464.098000	646.415197	5.369890	7.410110e-01
465.789000	644.068452	5.388960	7.582460e-01
467.481000	641.737311	5.408000	7.753630e-01
469.173000	639.422985	5.427010	7.923640e-01
470.865000	637.125291	5.445990	8.092510e-01
472.556000	634.845394	5.464930	8.260250e-01
474.248000	632.580422	5.483850	8.426890e-01
475.940000	630.331554	5.502740	8.592420e-01
477.632000	628.098620	5.521590	8.756880e-01
479.323000	625.882755	5.540410	8.920270e-01
481.015000	623.681174	5.559200	9.082600e-01
482.707000	621.495027	5.577950	9.243900e-01
484.398000	619.325431	5.597620	9.510510e-01
486.090000	617.169660	5.618470	9.897600e-01
487.782000	615.028845	5.639460	1.028160e+00
489.474000	612.902830	5.660570	1.066250e+00
491.165000	610.792707	5.681790	1.104030e+00
492.857000	608.695829	5.703130	1.141520e+00
494.549000	606.613298	5.710080	1.193750e+00
496.241000	604.544969	5.713240	1.250220e+00
497.932000	602.491907	5.716910	1.306520e+00
499.624000	600.451540	5.721090	1.362630e+00
501.316000	598.424946	5.725760	1.418530e+00
503.008000	596.411985	5.730920	1.474210e+00
504.699000	594.413700	5.736560	1.529670e+00
506.391000	592.427591	5.742660	1.584890e+00
508.083000	590.454709	5.741690	1.638910e+00
509.774000	588.496079	5.706780	1.688730e+00
511.466000	586.549253	5.672250	1.739060e+00
513.158000	584.615265	5.638110	1.789880e+00
514.850000	582.693989	5.604390	1.841180e+00
516.541000	580.786424	5.571090	1.892960e+00
518.233000	578.890190	5.538920	1.926910e+00
519.925000	577.006299	5.507550	1.941420e+00
521.617000	575.134629	5.476100	1.956110e+00
523.308000	573.276159	5.444580	1.971000e+00
525.000000	571.428571	5.412990	1.986090e+00
526.692000	569.592855	5.381330	2.001380e+00
528.383000	567.769970	5.349600	2.016880e+00
530.075000	565.957648	5.317810	2.032590e+00
531.767000	564.156858	5.285960	2.048510e+00
533.459000	562.367492	5.269510	2.062490e+00
535.150000	560.590489	5.254660	2.076340e+00
536.842000	558.823639	5.239840	2.090250e+00
538.534000	557.067892	5.225030	2.104230e+00
540.226000	555.323143	5.210250	2.118280e+00
541.917000	553.590310	5.195240	2.133700e+00
543.609000	551.867243	5.179020	2.155550e+00
545.301000	550.154869	5.162880	2.177510e+00
546.992000	548.454091	5.146830	2.199570e+00
548.684000	546.762800	5.130870	2.221730e+00
550.376000	545.081908	5.115000	2.243990e+00
552.068000	543.411319	5.099220	2.266350e+00
553.759000	541.751917	5.083530	2.288800e+00
555.451000	540.101647	5.067940	2.311350e+00
557.143000	538.461400	5.042640	2.331520e+00
558.835000	536.831086	5.011290	2.350370e+00
560.526000	535.211569	4.979920	2.369460e+00
562.218000	533.600845	4.948550	2.388790e+00
563.910000	531.999787	4.917180	2.408380e+00
565.602000	530.408308	4.885810	2.428210e+00
567.293000	528.827255	4.854640	2.432760e+00
568.985000	527.254673	4.823350	2.435890e+00
570.677000	525.691416	4.791920	2.439140e+00
572.368000	524.138317	4.760350	2.442510e+00
574.060000	522.593457	4.728630	2.446000e+00
575.752000	521.057678	4.696760	2.449610e+00
577.444000	519.530898	4.664750	2.453350e+00
579.135000	518.013935	4.632580	2.457210e+00
580.827000	516.504915	4.603370	2.458430e+00
582.519000	515.004661	4.581280	2.453190e+00
584.211000	513.513097	4.559080	2.447960e+00
585.902000	512.031022	4.536790	2.442730e+00
587.594000	510.556609	4.514390	2.437510e+00
589.286000	509.090662	4.491890	2.432280e+00
590.977000	507.633969	4.472830	2.426750e+00
592.669000	506.184734	4.456480	2.420960e+00
594.361000	504.743750	4.440060	2.415150e+00
596.053000	503.310947	4.423590	2.409340e+00
597.744000	501.887095	4.407050	2.403510e+00
599.436000	500.470442	4.390460	2.397680e+00
601.128000	499.061764	4.373800	2.391830e+00
602.820000	497.660993	4.357090	2.385980e+00
604.511000	496.268885	4.340310	2.380110e+00
606.203000	494.883727	4.327540	2.374870e+00
607.895000	493.506280	4.314800	2.369630e+00
609.586000	492.137287	4.302040	2.364380e+00
611.278000	490.775065	4.289230	2.359120e+00
612.970000	489.420363	4.276390	2.353850e+00
614.662000	488.073120	4.264260	2.348740e+00
616.353000	486.734063	4.254140	2.344080e+00
618.045000	485.401548	4.244000	2.339410e+00
619.737000	484.076310	4.233830	2.334730e+00
621.429000	482.758288	4.223640	2.330050e+00
623.120000	481.448196	4.213430	2.325350e+00
624.812000	480.144427	4.203190	2.320650e+00
626.504000	478.847701	4.192920	2.315930e+00
628.195000	477.558720	4.182630	2.311210e+00
629.887000	476.275903	4.173970	2.306150e+00
631.579000	474.999960	4.165860	2.300980e+00
633.271000	473.730836	4.157730	2.295790e+00
634.962000	472.469219	4.149590	2.290600e+00
636.654000	471.213563	4.141430	2.285390e+00
638.346000	469.964565	4.133260	2.280170e+00
640.038000	468.722170	4.127250	2.275500e+00
641.729000	467.487055	4.121310	2.270850e+00
643.421000	466.257707	4.115360	2.266180e+00
645.113000	465.034808	4.109400	2.261510e+00
646.805000	463.818307	4.103430	2.256830e+00
648.496000	462.608867	4.097450	2.252140e+00
650.188000	461.405009	4.091460	2.247440e+00
651.880000	460.207400	4.085470	2.242730e+00
653.571000	459.016694	4.080230	2.238530e+00
655.263000	457.831436	4.076040	2.235040e+00
656.955000	456.652282	4.071840	2.231540e+00
658.647000	455.479187	4.067640	2.228040e+00
660.338000	454.312791	4.063440	2.224540e+00
662.030000	453.151670	4.059230	2.221030e+00
663.722000	451.996468	4.056100	2.216720e+00
665.414000	450.847142	4.053420	2.212080e+00
667.105000	449.704319	4.050740	2.207430e+00
668.797000	448.566605	4.048060	2.202770e+00
670.489000	447.434634	4.045380	2.198110e+00
672.180000	446.309024	4.042700	2.193440e+00
673.872000	445.188404	4.040020	2.188760e+00
675.564000	444.073396	4.037340	2.184080e+00
677.256000	442.963960	4.034890	2.179550e+00
678.947000	441.860705	4.034000	2.176030e+00
680.639000	440.762284	4.033120	2.172520e+00
682.331000	439.669310	4.032240	2.169000e+00
684.023000	438.581744	4.031360	2.165480e+00
685.714000	437.500182	4.030490	2.161950e+00
687.406000	436.423307	4.030360	2.158970e+00
689.098000	435.351721	4.031160	2.156650e+00
690.789000	434.286012	4.031970	2.154340e+00
692.481000	433.224883	4.032780	2.152020e+00
694.173000	432.168926	4.033590	2.149710e+00
695.865000	431.118105	4.034400	2.147390e+00
697.556000	430.072998	4.035210	2.145080e+00
699.248000	429.032332	4.036030	2.142760e+00
700.940000	427.996690	4.036840	2.140450e+00
702.632000	426.966036	4.039120	2.140000e+00
704.323000	425.940939	4.041750	2.140000e+00
706.015000	424.920150	4.044390	2.140000e+00
707.707000	423.904243	4.047020	2.140000e+00
709.398000	422.893778	4.049650	2.140000e+00
711.090000	421.887525	4.052370	2.140120e+00
712.782000	420.886049	4.055890	2.141290e+00
714.474000	419.889317	4.059410	2.142470e+00
716.165000	418.897880	4.062930	2.143640e+00
717.857000	417.910531	4.066440	2.144810e+00
719.549000	416.927826	4.069950	2.145980e+00
721.241000	415.949731	4.073460	2.147150e+00
722.932000	414.976789	4.076970	2.148320e+00
724.624000	414.007816	4.080470	2.149490e+00
726.316000	413.043359	4.084440	2.150980e+00
728.008000	412.083384	4.088770	2.152710e+00
729.699000	411.128424	4.093100	2.154440e+00
731.391000	410.177320	4.097420	2.156170e+00
733.083000	409.230606	4.101740	2.157890e+00
734.774000	408.288807	4.106050	2.159620e+00
736.466000	407.350781	4.110130	2.165570e+00
738.158000	406.417054	4.114140	2.172690e+00
739.850000	405.487599	4.118150	2.179800e+00
741.541000	404.562930	4.122160	2.186890e+00
743.233000	403.641927	4.126170	2.193970e+00
744.925000	402.725107	4.130190	2.201040e+00
746.617000	401.812442	4.134200	2.208090e+00
748.308000	400.904440	4.138220	2.215130e+00
750.000000	400.000000	4.141640	2.222150e+00
